,0
0.0,0.3684206223431705
1.0,0.3795045529512599
1.5,0.38810463234138615
1.6,0.385335365981608
1.7,0.39021055814114475
1.8,0.3901838570990049
1.9,0.39314705593636534
2.0,0.39636226847370803
2.1,0.39706469635556507
2.2,0.40180370708192925
2.3,0.40486131506681583
2.4,0.40289462553289096
2.5,0.4081197434093525
2.6,0.4074860935478971
2.7,0.40774747346984586
2.8,0.4096771855614255
2.9,0.4157562835014414
3.0,0.4147121361200824
3.1,0.41919672375484013
3.2,0.41222182108152505
3.3,0.42360995988742184
3.4,0.41892589194142454
3.5,0.4157195116866912
3.6,0.42113999833677923
3.7,0.4242315673082637
3.8,0.2233494270177275
3.9,0.28079906530880244
4.0,0.35767610188871274
4.1,0.3872122092992575
4.2,0.4367868027226971
4.3,0.4304893170312819
4.4,0.48745518061694837
4.5,0.48316195388600885
4.6,0.4898582880316971
4.7,0.5132830845758315
4.8,0.46154303352782244
4.9,0.4322330890495948
5.0,0.4507391778469963
