,0
0.0,0.012298797283851965
1.0,0.3165668808712801
1.5,0.42732191851197204
1.6,0.42268038590924645
1.7,0.42928731844837786
1.8,0.4363731931332569
1.9,0.42522951934408426
2.0,0.4181569739388352
2.1,0.42224779167276133
2.2,0.4597298482092945
2.3,0.46305773795437205
2.4,0.4789967385565845
2.5,0.46911472453859027
2.6,0.47633064107278605
2.7,0.4681922067201336
2.8,0.4325276614658554
2.9,0.4605190068506165
3.0,0.462519165466479
3.1,0.46759191105141235
3.2,0.496867619547028
3.3,0.4642326301176704
3.4,0.4682550928526679
3.5,0.470172177523877
3.6,0.4993181381655303
3.7,0.45872104912941747
3.8,0.3955406002924131
3.9,0.5179261041438826
4.0,0.5633337039463349
4.1,0.5166001031336754
4.2,0.5646122754279695
4.3,0.5314810947665793
4.4,0.5499499023489665
4.5,0.5532930054266373
4.6,0.5735298121010127
4.7,0.5597222838124246
4.8,0.5805220482758509
4.9,0.5279054608107105
5.0,0.5369665886010911
