,0
0.0,0.025263730454532
1.0,0.32877391990489296
1.5,0.4314681262861605
1.6,0.4358607691722349
1.7,0.4200656769933554
1.8,0.4241393792432054
1.9,0.42435682952793047
2.0,0.4221850364962586
2.1,0.41963904490817255
2.2,0.45426968112889005
2.3,0.45552991562055817
2.4,0.48431670793724474
2.5,0.47114193009295324
2.6,0.47541702737134006
2.7,0.4695306932973039
2.8,0.4410955214249702
2.9,0.4593707511667698
3.0,0.4600353726478051
3.1,0.46864766770490446
3.2,0.4971149386829267
3.3,0.46683583651496785
3.4,0.4611464212226054
3.5,0.4628098099899085
3.6,0.4956167907515751
3.7,0.4556881999181436
3.8,0.3511233094408855
3.9,0.4729719900930456
4.0,0.5328450847707337
4.1,0.5169142265545259
4.2,0.54729675692395
4.3,0.5329770113932152
4.4,0.5504189247942575
4.5,0.5638795785088196
4.6,0.584038394828635
4.7,0.563372187624473
4.8,0.5780241246698176
4.9,0.5148770783104507
5.0,0.5098427400923419
