area,bankssts,caudalanteriorcingulate,caudalmiddlefrontal,cuneus,entorhinal,frontalpole,fusiform,inferiorparietal,inferiortemporal,insula,isthmuscingulate,lateraloccipital,lateralorbitofrontal,lingual,medialorbitofrontal,middletemporal,paracentral,parahippocampal,parsopercularis,parsorbitalis,parstriangularis,pericalcarine,postcentral,posteriorcingulate,precentral,precuneus,rostralanteriorcingulate,rostralmiddlefrontal,superiorfrontal,superiorparietal,superiortemporal,supramarginal,temporalpole,transversetemporal
bankssts,1.0,-0.005727522688928804,0.0005859656668358273,-0.005861794594796407,6.474168746243612e-05,-0.010710771193316674,-0.0026486846369094263,0.003012108208329485,-0.0002389802100937876,0.0014760830988142914,-0.022267529222632695,-0.010203376803740748,0.03762493310508225,-0.01785146109234671,0.007110060447932551,-0.015291863421368445,-0.012047137283984787,-0.011758238313621253,0.011990202548897778,0.03924434642264763,0.029335639904784546,0.021733608494421536,0.0050349994700855496,0.012994553119429954,-0.010313325394140555,-0.020884902194650588,-0.004469769859935166,-0.019992945314685578,-0.02270620239561255,0.030032820214460874,0.01602681872219324,0.026539998724356983,0.007285184840558544,0.03397445257580905
caudalanteriorcingulate,-0.005727522688928804,1.0,0.02382379901065731,-0.007045580611992763,0.004388403105216554,0.0094949186513755,0.008937170217348762,-0.011053408515920113,-0.018316557319711938,0.015809681714191514,-0.012896646360065597,-0.005445619209982495,-0.029130749510818354,-0.007809652881150665,-0.021921561976371733,-0.013743934795832366,0.018469528793940877,0.022599905548328865,-0.015470093477579999,0.0011459583813046503,-0.004507033663864954,-0.010306692669085519,0.01598038355395992,0.020405740241588716,-0.013561055076469125,0.005867814175660733,0.04870055192249706,0.02754307882224017,0.01779028814162407,-0.008932419039638314,-0.00950321555480687,0.0179138697597148,0.01041587286836738,0.010225007836656558
caudalmiddlefrontal,0.0005859656668358273,0.02382379901065731,1.0,-0.006749790438560909,0.005287822831659868,0.03766851639277092,0.007256686299854106,-0.03104070638466509,0.0038636637084271163,-0.04660930833717524,0.019388836166509858,-0.017638644593168395,-0.0008173936481016869,-0.01760337766297087,0.005797648612133271,0.0016510335823929794,-0.021857912372808687,-0.020329575450990674,0.025877973283236516,0.028317232435565963,-0.02978496219687431,0.012394373912905184,0.005064961283017953,0.002649148686088401,0.04466807784902539,0.004734360439682281,0.025284183681074955,-0.00012721982315796768,0.006629428922897481,-0.0038931096071795433,-0.016765906630821174,0.017812255077418133,0.02804627500745213,0.004240398042902146
cuneus,-0.005861794594796407,-0.007045580611992763,-0.006749790438560909,1.0,-0.00486402904286473,0.008092418080639967,-0.006717384156908672,0.030352200878653295,0.017451076860013348,-0.015271478860708024,0.018750552245889014,0.00394768988303087,0.01829300561082567,0.018542391548294065,-0.014498066668109178,0.0002636988077712465,0.017448076970217028,0.008500694882020534,0.005259833268921028,0.001205365367922139,-0.010996291139358247,0.05620144017167026,-0.017084310955618517,0.025750370371302234,0.0203332344571632,-0.006281669720115334,-0.004775682544515313,0.04937210784005983,0.020373649862603087,0.01201074218078649,0.0025581723900264686,0.008960143118620579,0.005032445885427879,0.031875702997476725
entorhinal,6.474168746243612e-05,0.004388403105216554,0.005287822831659868,-0.00486402904286473,1.0,-0.0013457173134558778,0.01783709016165496,0.00020129194808872277,-0.013103192637468432,0.01350455408766301,0.012978407608597631,0.0072801627348228,0.019089554767595357,-0.0027520248838897848,0.005883447441709638,-0.01119570139345749,-0.0238838361084305,0.06379381868037211,-0.005803048266764225,0.028740373099578862,0.0019833393658049464,-0.022097967497197554,-0.014374824221047265,-0.002851745590534395,-0.011250811533492633,-0.02282730797664424,0.009351285691039234,0.01638270888506288,0.004386497356522336,0.015233924333873015,0.008664846931941006,-0.020427919957734738,-0.004953117535638484,0.010900776841631214
frontalpole,-0.010710771193316674,0.0094949186513755,0.03766851639277092,0.008092418080639967,-0.0013457173134558778,1.0,-0.0259120209506811,-0.005480398498504051,0.002873219972280872,-0.006217406306183131,-0.009639253106627275,0.01775295996070733,-0.00038877798842576174,0.0208010964532744,0.038610128134890745,-0.024787746456172825,-0.00651850990443177,0.019068699861934112,-0.005244598739399665,-0.015782329519418513,-0.01944109079945257,-0.003734308679026306,0.00012162447491163714,-0.020277826319914215,0.03389708364011688,0.027521601120831584,0.010811677736916029,0.006712312354926626,0.03210216095022755,-0.012671781856503316,-0.02261769679711514,0.013862656463692677,-0.009227552496463499,-0.014409421743370203
fusiform,-0.0026486846369094263,0.008937170217348762,0.007256686299854106,-0.006717384156908672,0.01783709016165496,-0.0259120209506811,1.0,0.009325418142250729,0.015402611141231296,0.026812207179890454,0.04299418567902522,0.043021990263035444,0.009366132693762526,0.008620014844503166,0.012129557732186482,-0.018654932269194045,-0.003021110296404663,0.00727847563861309,-0.005820723947007741,-0.006699049620522049,0.006717423822268882,-0.01807483593064356,-0.00613931205750975,0.014892513599700072,0.038850105421366084,0.016026904530531356,-0.03248400739443645,-0.03367555330473549,-0.018464363047517248,0.019349124148525066,0.017078149839514455,0.020681713293030535,0.032001545600666176,-0.03325379752833945
inferiorparietal,0.003012108208329485,-0.011053408515920113,-0.03104070638466509,0.030352200878653295,0.00020129194808872277,-0.005480398498504051,0.009325418142250729,1.0,0.01313891435749964,-0.013028573014041561,0.007713969913911112,-0.0033455272921217014,0.029151926338785557,0.029620003676738,-0.0058435892907099584,0.014632789880165363,0.025227627619556145,0.010099630127809562,0.0018092053991048385,0.011602909655117531,-0.008709325088283666,-0.002131052120908551,0.024454902878292776,0.00823357194313881,-0.010958040339318771,0.009262873087021456,-0.01716286450077984,0.015742053665190176,0.002001929359492767,0.015009338951034403,0.030265437464193138,0.007993452250770194,-0.002371959108492864,-0.008729175830206385
inferiortemporal,-0.0002389802100937876,-0.018316557319711938,0.0038636637084271163,0.017451076860013348,-0.013103192637468432,0.002873219972280872,0.015402611141231296,0.01313891435749964,1.0,0.027074329061466024,0.005284911911702947,0.03469624758215286,-0.013052032393857486,-0.0015488225434844348,0.029337921606753355,0.017398488176090805,-0.015027015845332304,-0.008225614301300702,0.00835228575389578,0.027484843302565815,0.0361264429508625,-0.032744044443907785,0.012884997426693561,-0.009522518808236256,-0.004936975754149334,-0.011576601895619498,-0.031846149083852915,0.010410364827999369,0.016690495145767453,-0.002524860923492214,-0.023341949139706657,0.008179459966763761,-0.012432160068517469,0.006533770731499283
insula,0.0014760830988142914,0.015809681714191514,-0.04660930833717524,-0.015271478860708024,0.01350455408766301,-0.006217406306183131,0.026812207179890454,-0.013028573014041561,0.027074329061466024,1.0,-0.039057394386723225,0.011921284816413164,0.013423581120379415,-0.002134062632046141,0.0289580745908592,0.02512826735352724,-0.014268945987985475,0.008717835604008812,-0.035998195567440966,0.012733674801012538,0.0072141413573842215,0.006641056974088674,-0.0004849812985351087,0.010417030117663274,-0.003964789103774175,0.007357585427391868,0.0276203992341898,-0.0030305439046648657,0.012746940658315699,0.01671362544309073,0.0075770590192575935,-0.03177808475279626,0.01003605898659003,0.01771375574236893
